"","psid","state","stateName","district","distcode","age","sex","female","rural","medwork","hhsize","comb_wt","mpce","logRsincpc"
"1",59957110109,"08","Rajasthan","06","0806",28,2,"Female","Rural",0,12,8287.41015625,2575,7.85360479354858
"6",53965120203,"33","Tamil Nadu","19","3319",18,1,"Male","Rural",0,3,7281.85986328125,2070,7.63530397415161
"7",57107230102,"14","Manipur","04","1404",20,1,"Male","Rural",1,4,1083.6650390625,2750,7.91935634613037
"11",57554120204,"06","Haryana","02","0602",24,2,"Female","Rural",0,4,4285.93017578125,1750,7.46737098693848
"15",73803110204,"08","Rajasthan","12","0812",28,2,"Female","Urban",0,6,7376.97998046875,1825,7.50933504104614
"19",79492140102,"07","Delhi","01","0701",23,2,"Female","Urban",0,3,14796.5048828125,2666.66674804688,7.88858461380005
"21",75644110103,"08","Rajasthan","30","0830",23,1,"Male","Urban",0,4,1385.42504882812,5000,8.51719284057617
"30",71180130203,"19","West Bengal","09","1909",17,1,"Male","Urban",0,4,5978.615234375,2000,7.60090255737305
"31",54019110103,"28","Andhra Pradesh","01","2801",24,1,"Male","Rural",0,4,5280.64990234375,2375,7.77275276184082
"44",54014220204,"10","Bihar","28","1028",30,2,"Female","Rural",0,7,21152.0546875,714.285705566406,6.57128286361694
"45",52603120103,"08","Rajasthan","26","0826",20,2,"Female","Rural",0,4,2749.09008789062,2250,7.71868562698364
"49",73420140102,"15","Mizoram","03","1503",27,2,"Female","Urban",1,6,513.590026855469,1333.33337402344,7.19543743133545
"50",77285110105,"22","Chhattisgarh","06","2206",18,2,"Female","Urban",0,5,6217.06494140625,3200,8.0709056854248
"52",57452110103,"09","Uttar Pradesh","63","0963",18,2,"Female","Rural",0,5,2378.47509765625,1200,7.09007692337036
"55",74571130202,"23","Madhya Pradesh","27","2327",30,2,"Female","Urban",0,4,13371.2802734375,5000,8.51719284057617
"56",70785140101,"27","Maharashtra","27","2727",30,1,"Male","Urban",1,6,15327.7548828125,1000,6.90775537490845
"58",70080130202,"15","Mizoram","03","1503",30,2,"Female","Urban",0,5,318,3600,8.18868923187256
"59",51274130103,"27","Maharashtra","20","2720",22,2,"Female","Rural",0,6,29278.4140625,1166.66662597656,7.06190586090088
"60",72200140204,"03","Punjab","12","0312",18,1,"Male","Urban",1,5,7797.7900390625,1700,7.43838357925415
"64",55261120202,"02","Himachal Pradesh","05","0205",27,2,"Female","Rural",1,4,2271.419921875,1125,7.02553844451904
"67",53546220101,"09","Uttar Pradesh","52","0952",26,1,"Male","Rural",1,3,4912.669921875,1333.33337402344,7.19543743133545
"69",52692120103,"19","West Bengal","18","1918",20,1,"Male","Rural",0,4,4390.60986328125,1625,7.39326286315918
"70",73852140104,"10","Bihar","24","1024",18,2,"Female","Urban",0,4,2397.11010742188,1250,7.13089895248413
"71",56958120104,"27","Maharashtra","10","2710",25,2,"Female","Rural",0,6,10206.66015625,2000,7.60090255737305
"73",77473140201,"36","Telangana","05","3605",30,1,"Male","Urban",1,2,2115.7451171875,4000,8.29404926300049
"79",74427140103,"14","Manipur","09","1409",30,2,"Female","Urban",0,6,444.195007324219,833.333312988281,6.72543382644653
"80",75223110203,"09","Uttar Pradesh","33","0933",25,1,"Male","Urban",1,4,17417.73046875,6250,8.74033641815186
"88",57878110103,"13","Nagaland","02","1302",30,1,"Male","Rural",1,4,425.760009765625,1000,6.90775537490845
"93",77217110103,"32","Kerala","14","3214",28,1,"Male","Urban",0,4,3971.23999023438,5000,8.51719284057617
"94",72145230101,"03","Punjab","03","0303",27,1,"Male","Urban",1,4,5330.30517578125,2000,7.60090255737305
"100",55577110103,"07","Delhi","01","0701",17,1,"Male","Rural",1,3,642.359985351562,4333.33349609375,8.37409210205078
"106",51460120202,"14","Manipur","07","1407",27,2,"Female","Rural",0,4,361.359985351562,1750,7.46737098693848
"107",73358130204,"18","Assam","06","1806",17,1,"Male","Urban",0,4,1035.23498535156,1500,7.31322050094604
"108",74090110204,"15","Mizoram","01","1501",18,2,"Female","Urban",0,5,217.929992675781,4000,8.29404926300049
"114",77847110204,"33","Tamil Nadu","28","3328",17,1,"Male","Urban",0,5,13567.7451171875,2000,7.60090255737305
"120",50897110103,"06","Haryana","12","0612",22,1,"Male","Rural",0,5,3730.81005859375,1600,7.37775897979736
"121",55016220103,"32","Kerala","05","3205",19,1,"Male","Rural",1,3,3171.0048828125,2000,7.60090255737305
"123",56126110103,"02","Himachal Pradesh","11","0211",25,1,"Male","Rural",1,4,5445.39013671875,1375,7.22620916366577
"129",74328140202,"28","Andhra Pradesh","12","2812",30,2,"Female","Urban",0,5,16526.560546875,1700,7.43838357925415
"143",74937120204,"15","Mizoram","08","1508",24,1,"Male","Urban",0,4,341.184997558594,3750,8.22951126098633
"155",57825210102,"09","Uttar Pradesh","22","0922",24,2,"Female","Rural",0,2,20747.419921875,2000,7.60090255737305
"159",74151110103,"23","Madhya Pradesh","32","2332",28,1,"Male","Urban",1,5,2066.25,2400,7.78322410583496
"161",71421120203,"13","Nagaland","05","1305",26,2,"Female","Urban",1,4,919.369995117188,3750,8.22951126098633
"164",51438120105,"08","Rajasthan","15","0815",19,1,"Male","Rural",1,9,6949.47998046875,1111.11108398438,7.01311588287354
"168",50805120202,"35","A & N Island","02","3502",26,2,"Female","Rural",0,4,93.1600036621094,2500,7.82404613494873
"171",50503110105,"10","Bihar","19","1019",19,1,"Male","Rural",0,6,857.580017089844,1083.33337402344,6.98779821395874
"173",59227120205,"03","Punjab","17","0317",22,1,"Male","Rural",1,6,6747.35986328125,2000,7.60090255737305
"174",79213130101,"07","Delhi","01","0701",30,1,"Male","Urban",1,4,7954.60009765625,2500,7.82404613494873
"177",50339210104,"33","Tamil Nadu","01","3301",21,2,"Female","Rural",0,4,15930.0498046875,2500,7.82404613494873
"179",72107110206,"09","Uttar Pradesh","16","0916",20,2,"Female","Urban",1,7,4984.98486328125,1114.28576660156,7.01596879959106
"182",77656110403,"06","Haryana","20","0620",20,2,"Female","Urban",0,6,4879.52490234375,3333.33325195312,8.11172771453857
"183",74730130202,"36","Telangana","10","3610",21,2,"Female","Urban",0,3,6180.14013671875,3000,8.00636768341064
"185",54753220103,"19","West Bengal","09","1909",19,1,"Male","Rural",0,3,13361.9599609375,1500,7.31322050094604
"192",56496120202,"05","Uttrakhand","11","0511",20,1,"Male","Rural",1,4,846.640014648438,1000,6.90775537490845
"197",53093220102,"10","Bihar","08","1008",26,2,"Female","Rural",0,5,11192.919921875,1000,6.90775537490845
"198",56420220104,"27","Maharashtra","20","2720",21,2,"Female","Rural",0,4,9697.0654296875,1500,7.31322050094604
"199",70421130203,"05","Uttrakhand","05","0505",23,1,"Male","Urban",0,7,761.510009765625,1714.28576660156,7.44675159454346
"211",51177210108,"09","Uttar Pradesh","07","0907",17,2,"Female","Rural",0,9,38450.5234375,2222.22216796875,7.70626306533813
"222",59130220203,"23","Madhya Pradesh","01","2301",21,1,"Male","Rural",0,3,14048.4345703125,1166.66662597656,7.06190586090088
"223",72131130202,"32","Kerala","06","3206",16,2,"Female","Urban",0,3,2026.53002929688,5000,8.51719284057617
"224",51041110104,"16","Tripura","02","1602",22,2,"Female","Rural",0,5,194.785003662109,1000,6.90775537490845
"230",51152210103,"13","Nagaland","02","1302",20,1,"Male","Rural",0,4,1170.02502441406,1250,7.13089895248413
"232",55015120104,"33","Tamil Nadu","21","3321",23,2,"Female","Rural",0,5,1671.16003417969,2040,7.62070512771606
"234",75026130201,"09","Uttar Pradesh","07","0907",25,1,"Male","Urban",1,1,774.609985351562,6000,8.69951438903809
"244",79404110103,"10","Bihar","14","1014",17,1,"Male","Urban",0,3,2872.94995117188,2666.66674804688,7.88858461380005
"247",56633110102,"05","Uttrakhand","12","0512",18,1,"Male","Rural",0,3,10942.7998046875,2333.33325195312,7.75505304336548
"249",54795110103,"09","Uttar Pradesh","24","0924",25,1,"Male","Rural",0,9,2529.7900390625,444.444458007812,6.09682512283325
"250",74036110204,"09","Uttar Pradesh","09","0909",16,1,"Male","Urban",0,4,712.275024414062,8750,9.07680892944336
"251",50546220204,"28","Andhra Pradesh","04","2804",17,2,"Female","Rural",0,4,11399.3701171875,5000,8.51719284057617
"252",75053140203,"20","Jharkhand","12","2012",30,2,"Female","Urban",0,4,1872.09497070312,1500,7.31322050094604
"253",50518120203,"29","Karnataka","20","2920",17,1,"Male","Rural",0,4,12129.2998046875,1875,7.53636407852173
"254",71063110103,"14","Manipur","09","1409",25,1,"Male","Urban",0,6,414.329986572266,916.666687011719,6.82074403762817
"255",70738120104,"24","Gujarat","07","2407",25,2,"Female","Urban",0,5,6262.22998046875,2000,7.60090255737305
"256",56953110104,"21","Odisha","19","2119",16,1,"Male","Rural",0,5,3627.55493164062,600,6.39692974090576
"259",50287130104,"19","West Bengal","14","1914",30,2,"Female","Rural",0,5,30851.130859375,500,6.21460819244385
"262",72641110203,"34","Puducherry","02","3402",17,1,"Male","Urban",0,6,2576.0400390625,3333.33325195312,8.11172771453857
"267",74335110105,"17","Meghalaya","05","1705",21,2,"Female","Urban",0,5,542.169982910156,2000,7.60090255737305
"275",72142110212,"10","Bihar","14","1014",30,2,"Female","Urban",0,14,4529.7001953125,2857.14282226562,7.95757722854614
"281",73339120203,"01","Jammu & Kashmir","01","0101",27,1,"Male","Urban",1,5,345.5,1316.59997558594,7.18280792236328
"285",57113120203,"16","Tripura","04","1604",29,2,"Female","Rural",0,5,1038.92504882812,1400,7.24422740936279
"291",73532130102,"22","Chhattisgarh","10","2210",24,2,"Female","Urban",0,4,4598.14990234375,1250,7.13089895248413
"293",57614110103,"12","Arunachal Pradesh","04","1204",18,1,"Male","Rural",0,4,420.125,3650,8.20248222351074
"294",73717210103,"33","Tamil Nadu","31","3331",23,1,"Male","Urban",1,7,17126.890625,2549.28564453125,7.84356832504272
"296",73093120202,"27","Maharashtra","21","2721",29,2,"Female","Urban",1,4,9943.240234375,5500,8.61250305175781
"299",77902130102,"10","Bihar","21","1021",30,2,"Female","Urban",0,6,1330.57495117188,666.666687011719,6.50229024887085
"300",79405110204,"10","Bihar","26","1026",24,2,"Female","Urban",0,5,6187.5849609375,1100,7.00306558609009
"307",73851130202,"09","Uttar Pradesh","15","0915",30,1,"Male","Urban",1,2,4060.9599609375,2500,7.82404613494873
"308",72598110105,"27","Maharashtra","21","2721",16,2,"Female","Urban",0,6,7267.76513671875,3000,8.00636768341064
"314",56191120104,"27","Maharashtra","02","2702",22,2,"Female","Rural",0,11,264.204986572266,772.727294921875,6.64992618560791
"318",56668220203,"21","Odisha","04","2104",20,2,"Female","Rural",0,4,8372.240234375,3750,8.22951126098633
"321",72674110105,"24","Gujarat","25","2425",26,1,"Male","Urban",1,5,423.989990234375,4000,8.29404926300049
"326",56980130104,"27","Maharashtra","03","2703",30,2,"Female","Rural",0,7,15820.6904296875,1142.85717773438,7.04128646850586
"329",55853220106,"01","Jammu & Kashmir","07","0107",24,2,"Female","Rural",0,7,1139.29504394531,1714.28576660156,7.44675159454346
"333",57507120104,"23","Madhya Pradesh","10","2310",16,1,"Male","Rural",0,4,3364.9951171875,1125,7.02553844451904
"335",77512140202,"06","Haryana","18","0618",28,2,"Female","Urban",0,3,735.35498046875,1666.66662597656,7.41858100891113
"338",57026120304,"23","Madhya Pradesh","23","2323",25,2,"Female","Rural",1,6,6134.3798828125,1000,6.90775537490845
"339",50238110104,"19","West Bengal","09","1909",22,2,"Female","Rural",0,4,2447.75,3000,8.00636768341064
