state,district,sex,age,id,hhid,psid,female,medwork,rural,hhweight,stateName
13,9,1,58,Q3V157092210101,570922101,57092210101,0,0,1,0.43952024,Nagaland
9,57,2,58,Q3V155543110108,555431101,55543110108,1,0,1,0.31604865,Uttar Pradesh
33,32,1,58,Q4V175643140201,756431402,75643140201,0,1,0,1.6231257,Tamil Nadu
14,7,2,36,Q1V153337110102,533371101,53337110102,1,0,1,0.14807668,Manipur
21,26,2,14,Q1V157491110105,574911101,57491110105,1,0,1,1.1543951,Odisha
32,5,1,42,Q4V152282120102,522821201,52282120102,0,1,1,0.36679983,Kerala
9,44,1,15,Q1V157162220103,571622201,57162220103,0,0,1,1.3717165,Uttar Pradesh
19,7,1,29,Q1V150391130103,503911301,50391130103,0,1,1,1.595136,West Bengal
12,2,2,40,Q2V150175130102,501751301,50175130102,1,0,1,0.10586528,Arunachal Pradesh
20,7,2,14,Q1V157836110206,578361102,57836110206,1,0,1,0.15838091,Jharkhand
22,10,2,27,Q4V173775130202,737751302,73775130202,1,0,0,0.97046995,Chhattisgarh
28,2,1,49,Q3V159199220201,591992202,59199220201,0,1,1,0.74929208,Andhra Pradesh
33,6,1,33,Q1V154465220201,544652202,54465220201,0,1,1,0.51923418,Tamil Nadu
16,1,1,42,Q3V172524140201,725241402,72524140201,0,1,0,0.071872786,Tripura
33,16,1,32,Q1V171553120201,715531202,71553120201,0,1,0,1.5091082,Tamil Nadu
35,2,1,36,Q3V156663120201,566631202,56663120201,0,1,1,0.065369867,A & N Island
21,12,1,57,Q3V175719110201,757191102,75719110201,0,1,0,1.809516,Odisha
19,1,2,45,Q2V151414120102,514141201,51414120102,1,0,1,0.8974281,West Bengal
24,7,1,18,Q4V153779220203,537792202,53779220203,0,0,1,0.55366325,Gujarat
9,49,2,48,Q2V151329220202,513292202,51329220202,1,0,1,0.97979683,Uttar Pradesh
24,19,2,34,Q4V157394120102,573941201,57394120102,1,0,1,0.76096219,Gujarat
9,33,1,26,Q1V179948130101,799481301,79948130101,0,1,0,1.1380553,Uttar Pradesh
6,13,2,40,Q3V179240140101,792401401,79240140101,1,1,0,0.054059178,Haryana
19,15,2,45,Q1V173799120102,737991201,73799120102,1,1,0,0.25957856,West Bengal
19,9,2,42,Q1V153914120102,539141201,53914120102,1,0,1,1.0729741,West Bengal
36,8,2,20,Q3V170580130101,705801301,70580130101,1,0,0,1.8205626,Telangana
9,6,1,21,Q4V151074220208,510742202,51074220208,0,0,1,0.88138837,Uttar Pradesh
21,27,1,20,Q4V150828120404,508281204,50828120404,0,0,1,0.22960095,Odisha
10,13,2,40,Q2V175668120102,756681201,75668120102,1,0,0,0.87108308,Bihar
8,27,1,33,Q3V154468130201,544681302,54468130201,0,1,1,5.4662452,Rajasthan
36,10,1,35,Q1V152534230101,525342301,52534230101,0,1,1,8.3601189,Telangana
10,13,1,18,Q3V159699220203,596992202,59699220203,0,0,1,1.9575323,Bihar
10,8,2,62,Q2V156432120202,564321202,56432120202,1,0,1,0.27897063,Bihar
4,1,1,43,Q1V173684120201,736841202,73684120201,0,1,0,0.15319546,Chandigarh
34,2,1,29,Q4V170003110103,700031101,70003110103,0,1,0,0.061421651,Puducherry
33,9,2,41,Q4V179918130102,799181301,79918130102,1,1,0,0.88775057,Tamil Nadu
10,28,2,21,Q4V153794230103,537942301,53794230103,1,0,1,2.8909538,Bihar
33,3,2,31,Q2V155885230102,558852301,55885230102,1,0,1,1.8865081,Tamil Nadu
17,6,2,45,Q3V155115120201,551151202,55115120201,1,1,1,0.058998231,Meghalaya
13,11,1,20,Q2V159790130503,597901305,59790130503,0,1,1,0.37144718,Nagaland
9,43,2,15,Q4V150898230105,508982301,50898230105,1,0,1,9.0011959,Uttar Pradesh
18,6,2,27,Q4V172030130103,720301301,72030130103,1,1,0,0.18634455,Assam
25,1,2,24,Q2V157034120103,570341201,57034120103,1,0,1,0.004705147,Daman & Diu
8,17,2,45,Q4V174502130202,745021302,74502130202,1,0,0,0.94210517,Rajasthan
14,1,1,36,Q4V153020220101,530202201,53020220101,0,1,1,0.16828923,Manipur
16,4,2,26,Q1V157113120204,571131202,57113120204,1,1,1,0.10824391,Tripura
32,3,1,26,Q2V156379110203,563791102,56379110203,0,1,1,0.51812202,Kerala
32,6,1,28,Q2V156947220203,569472202,56947220203,0,1,1,0.71729058,Kerala
36,6,2,54,Q3V156620210102,566202101,56620210102,1,0,1,2.5131485,Telangana
19,5,1,45,Q2V151851130101,518511301,51851130101,0,1,1,3.0655277,West Bengal
2,9,2,65,Q4V153831120201,538311202,53831120201,1,1,1,0.16744374,Himachal Pradesh
5,10,1,14,Q4V159459120104,594591201,59459120104,0,0,1,0.34080276,Uttrakhand
27,21,2,65,Q3V174434140101,744341401,74434140101,1,0,0,0.31192955,Maharashtra
24,25,1,30,Q4V174077120201,740771202,74077120201,0,1,0,0.97475886,Gujarat
9,12,2,22,Q2V179453130208,794531302,79453130208,1,0,0,0.96405137,Uttar Pradesh
1,21,2,16,Q3V170538120105,705381201,70538120105,1,0,0,0.32594708,Jammu & Kashmir
33,22,2,52,Q2V174425130102,744251301,74425130102,1,0,0,0.54509223,Tamil Nadu
24,19,2,39,Q4V171510120201,715101202,71510120201,1,1,0,0.92372841,Gujarat
9,68,1,14,Q3V154572230103,545722301,54572230103,0,0,1,4.8254676,Uttar Pradesh
9,62,2,28,Q4V152238110107,522381101,52238110107,1,0,1,1.1132501,Uttar Pradesh
24,23,2,18,Q1V172785220103,727852201,72785220103,1,0,0,0.72125447,Gujarat
16,1,2,19,Q4V153436110104,534361101,53436110104,1,0,1,0.012606793,Tripura
27,21,1,62,Q1V171133140101,711331401,71133140101,0,0,0,0.91731554,Maharashtra
17,2,1,27,Q1V152591120403,525911204,52591120403,0,1,1,0.06841217,Meghalaya
27,8,1,36,Q4V175726140201,757261402,75726140201,0,1,0,0.2942566,Maharashtra
16,2,2,30,Q2V154454230102,544542301,54454230102,1,0,1,1.2844223,Tripura
17,5,2,20,Q1V157103110205,571031102,57103110205,1,0,1,0.077319235,Meghalaya
